crumbs	crumbs_id	Mfr Name	Catalog Number	Master UPC	Rank2 14I	Rank2 HI1	Rank2 HI5	Adhesion Strength	Adhesive Backed	Adhesive Material	Amperage Rating	Angle	Application	Average Life Hours	Backing Material	Ballast Type	Barrel Style	Barrel Type	Beam Angle Degree	Bend Degree	Bolt Diameter	Bolt Size	Boot Color	Boot Type	Breaker Type	Bushing Type	Cable Size	Cable Type	Class Code / Tech Seg	Coil Voltage	Color	Color Rendering Index / CRI	Color Temperature / CCT	Conductor / Wire Material	Conductor / Wire Size	Conductor / Wire Stranding	Conductor Range	Conductor Range AWG Main	Connection Type	Connector Type	Cord Length	Crimping Force	Current Rating	Depth	Diameter	Dimmable	Door	Enclosure Type	Fiber Compatibility	Fiber Size	Fiber Type	Finish	Fixture Type	Flammability Rating	Form	Frequency	Frequency Range	Fuse Size	Gang	Height	Hook Material	Horsepower Rating	Housing Material	Hub Size	Inside Diameter	Insulated Throat	Insulation Material	Interrupt Rating	Jacket Material	Knockouts	Labels per Package	Lamp Base	Lamp Included	Lamp Shape	Lamp Type	Lamp Wattage	Length	Locking Holes	Lockout Material	Lockout Type	Lumens	Material	Media	Memory	Minimum Bundle Diameter	Mounting	Mounting Method	NEMA Rating	Number of Fibers	Number of Holes	Number of Lamps	Number of Markers	Number of Outlets	Number of Poles	Number of Receptacles	Number of Spaces	Number of Terminals	Operating Cycles	Operating System	Operating Temperature	Outside Diameter	Overall Length	Perforated	Perforated Length	Perforated Width	Phase	Plug Type	Power Rating	Print Resolution	Print Speed	Printer Compatibility	Print-On Area	Qty per Card / Sheet	Qty per Roll	Radius	Reflector Type	Rod Size	Roll Length	Roll Width	Seal Material	Sensing Range	Shrink Ratio	Size	Socket Type	Spool Length	Stud Size	Tap Size	Temperature Range	Temperature Rating	Tensile Strength	Terminal Size	Termination	Text Color	Thickness	Trade Size	VOC / Volatile Organic Compounds	Voltage Rating	Wattage	Weight	Width	Wire Type	Wiring Configuration	Type	Standards	Item Name	Connection	Enclosure	Prop65 Warning	Wire Size	Contact Configuration	Actuator	Insulation	Dimensions	Number Of Wires	For Use With	Frequency Rating	Contact Rating	Shape	Mounting Type	Orientation	Number Of Gangs	Series/Model	Printer Type	Environmental Conditions	Print Method	Includes	Trip Type	Cable Entry	Frame	Output	Adhesive Type	Background Color	Display	Color/Finish	Language	Legend Color	Trip Range	Action	Indicator	Jacket Color	Thread Type	Power Supply	Head Type	Nema Color	Cover Type	Handle Type	Control	Reset Type	Head Color	Cord Type	Packaging Quantity	Conductor Material	Sensing Distance	Grade	Head Height	Input Voltage	Lens Color	Terminal Type	Shank Type	Capacity	Speed Rating	Class	Input	Shank Size	Head Width	Thread Size	Drive Type	Operator Type	Number Of Ports	Nominal Diameter	Cable Length	Terminals	Number Of Channels	Contact Type	Timing Range	Interface	Handle Material	Gauge	Feedback	Sensing Beam	Output Voltage	Flammability	Drill Size	Blade Material	Thread Length	Number Of Pieces	Primary Voltage	Input Type	Control Voltage	Color Code	Teeth Per Inch	Contact Material	Communication	Power Factor	Armature Voltage	Character Height	User Interface	Lens Type	Hole Diameter	Tip Type	Shank Length	Data Transfer Rate	Load Capacity	Nut Type	Sensor	Contact Resistance	Number Of Pins	Roller Diameter	Kva Rating	Frame Size	Battery	Connection Size	Body Style	Number Of Positions	Slot Size	Locking Type	Shackle Diameter	Closed Contact Resistance	Conductor Type	Head Diameter	Drive Size	Hp Rating	Battery Type	Point Type	Light Source	Adjustment Type	Overall Height	Speed	Insertion Loss	Applicable Materials	Shank Diameter	Material Thickness	Screen Size	Base	Blade Width	Torque Rating	Warranty	Body Material	Maximum Load Capacity	Housing Color	Cable Material	Short Circuit Rating	Operating Frequency	Emitter Light Source	Resistance	Grounding	Shackle Material	Body Width	Sensitivity	Output Circuit Type	Arbor Size	Key Type	Screw Size	Power Consumption	Inputs	Cutting Edge Material	Load Current	Cutting Size	Wall Thickness	Circuit Type	Disconnect Type	Wire Gauge	Absorption Capacity	Teeth Type	Functions	Minimum Embedment Depth	Tpi Or Pitch	Measuring Range	Roller Material	Control Type	Blade Thickness	Shackle Width	Cutting Depth	Legend Size	Load Rating	Overall Width	Number Of Flutes	Contact Form	Flute Length	Chuck Size	Working Load Limit	Tap Conductor Size	Start Type	Sensing Mode	Insulation Class	Closure Type	Color Temperature	Cutting Capacity	Outlet	Output Current	Shank Material	Maximum Load	Duty	Die Code	Blade Size	Socket Size	Battery Capacity	Jaw Size	Jaw Length	Fluids Absorbed	Tooth Material	Coil Rating	Character Width	Hole Size	Inner Diameter Expanded	Processor	Number Of Points	Indicator Type	Inner Diameter Recovered	Cutting Material	Wall Thickness Recovered	Shaft Diameter	Bend Radius	Illumination	Jaw Type	Number Of Feeders	Number Of Pockets	Fixture Material	Network	Blade Type	Container Type	Insulating Material	Ballast Factor	Hole Depth	Flute Type	Container Size	Lens Material	Tool Length	Nominal Size	Number Of Contacts	Strands	Termination Style	Va Rating	Thermal Protection	Core	Pipe Size	Tongue Size	Jaw Capacity	Sensor Type	Port	Saw Diameter	Nominal Voltage	Shaft Type	Slot Type	Run Conductor Size	Interface Type	Jaw Thickness	Chuck Type	Hex Size	Jaw Width	Minimum Shrink Temperature	Designation	Marker Height	Ansi Code	Fuse Rating	No Load Speed	Packaging Type	Jaw Material	Datasheet_MSDS_Sheet	availability	price	url	keyword	pid	title	description	brand	thumb_image	view_id	sale_price	customerpartnumber
Automation & Controls|Automation Sensors & Switches|Sensors|Photoelectric Sensors|Retroreflective Photoelectric Sensors	NA_120000000000|NA_121200000000|NA_121201000000|NA_121201100000|NA_121201100500	Rockwell Automation	42GRU-9203H	66207394942	F	F	F						Polarized Retroreflective																SSC																																																																																																														0.694				GP Sensor	Contact Rockwell Automation		2m (6.5ft), 600V Cable																																																																																																																																																																																																																																																														in stock	14.78|9.76|7.24|9.56|13.67	https://pacific-supply.bloomreach.com/products/6944___6944	Series 9000 Standard and Timing|Photoelectric Sensors, General Purpose Sensors	6944	AB 42GRU-9203H PHOTOSWITCH	A-B 42GRU-9203H Series 9000 GP Sensor	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_6944.jpg	master|ContractorIndustrial|OEM|MaintenanceElectrical|MaintenanceIndustrial	9.31|6.15|4.56|6.02|8.61	100|100|100|100|100
Conduit, Fittings, & Raceway|Electrical Conduit & Fittings|Non-Metallic Conduit & Fittings|Liquidtite Conduit	NA_110000000000|NA_110300000000|NA_110303000000|NA_110303060000	ABB Installation Products	15007-100	03448123315	F	C	B						Control and Motor																012		Gray														20.82 mm ID x 26.41 mm OD																																100 ft					PVC																																															80 �C						0.75 in				18.130				Liquidtight Flexible Non-Metallic Conduit & Fittings	cULus E95745	Liquidtight Conduit																																																																																																																																																																																																																																																															in stock	13.01	https://pacific-supply.bloomreach.com/products/1010952___1010952		1010952	CARLON 15007-100 3/4 CARFLEX	3/4 IN NM LIQUIDTIGHT 100 FT COIL	Carlon	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1010952	master	8.19	1004108
Automation & Controls|Terminal Blocks, Wiring Systems & Connectors|Terminal Block Accessories|Shorting Links/Jumpers	NA_120000000000|NA_121300000000|NA_121305000000|NA_121305160000	Rockwell Automation	1492-CJ6-50	61132016981	E								for Use With 1492-W4, W4TW																ICB		Gray																																																															50																																													0.208				Center Jumper	CCC, KC																																																																																																																																																																																																																																																																in stock	10.81|6.47|12.92|9.46|8.59	https://pacific-supply.bloomreach.com/products/1011443___1011443		1011443	AB 1492-CJ6-50 Center Jumper, 6 mm	A-B 1492-CJ6-50 IEC Center Jumper, 50 PL 6mm, Screw	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1011443.jpg	master|ContractorIndustrial|OEM|MaintenanceElectrical|MaintenanceIndustrial	6.81|4.08|8.14|5.96|5.41	1004599|1004599|1004599|1004599|1004599
Automation & Controls|Automation Relays & Timers|Relays|Control Relays	NA_120000000000|NA_121100000000|NA_121102000000|NA_121102010000	Hubbell Wiring Device-Kellems	AAR	78358539265	F								For Extra Load Capacity																HBLWDK																																																									Screw Mount												6k																																									0.550				Accessories	UL 20																																																																																																																																																																																																																																																																in stock	12.69|9.54|11.55|13.61	https://pacific-supply.bloomreach.com/products/1012006___1012006		1012006	HW AAR RELAY ADD-A-RELAY	Hubbell AAR Wall Mount Sensor Add-A-Relay	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1012006.jpg	master|ContractorIndustrial|OEM|MaintenanceElectrical	7.99|6.01|7.27|8.57	1005162|1005162|1005162|1005162
Wiring Devices & Wallplates|Receptacles|Receptacle & Switch Wiring Modules	NA_240000000000|NA_240600000000|NA_240603000000	Brad	ENSP1F5	78678844313	F						1.5 A																		WO										External Thread, Screw																																																																																										-20 to 80 �C								125 VDC		1.500				Bulkhead Feed-Through, Shielded, Straight, Rectangular		Ethernet Pass-Through Receptacle																																																																																																																																																																																																																																																															in stock	9.71|12.13|8.85	https://pacific-supply.bloomreach.com/products/1012602___1012602	rj45 receptacle	1012602	WOODH ENSP1F5 RJ45 RECEPT.	PASS-THROUGH RECEPTACLE	Brad	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1012602.jpg	master|ContractorIndustrial|OEM	6.12|7.64|5.57	1005758|1005758|1005758
Automation & Controls|Operators|Legend Plates	NA_120000000000|NA_120900000000|NA_120905000000	Rockwell Automation	800T-X642J	61132041808	F								For 30mm 800T Push Button																ICB		Gray																																																																																																												0.018				Legend Plate	KC																																																																																																																																																																																																																																																																in stock	5.06|9.19|13.09|11.80|10.96	https://pacific-supply.bloomreach.com/products/1012686___1012686	800T Legend Plates|30 mm, NEMA Accessories	1012686	AB 800T-X642J 800T Legend	A-B 800T-X642J 30mm 800T O I Jumbo Legend	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1012686.jpg	master|ContractorIndustrial|OEM|MaintenanceElectrical|MaintenanceIndustrial	3.19|5.79|8.25|7.43|6.90	1005842|1005842|1005842|1005842|1005842
Tools & Instruments|Testing Instruments|Equipment Cases	NA_250000000000|NA_252000000000|NA_252018000000	Fluke	C510	09596908061	F								Carrying case																ACC		Brown													6 in																																																																																															1.150				Carrying case																																																																																																																																																																																							Button snap																																																																										in stock	9.26|14.18|10.71|12.84|10.87|14.51|14.42	https://pacific-supply.bloomreach.com/products/1012867___1012867		1012867	FM C510 METER CASE LEATHER LARGE	Fluke C510 179 x 106 x 287 mm Meter Case	Fluke	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1012867.jpg	master|ContractorResidential|ContractorCommercial|ContractorIndustrial|OEM|MaintenanceElectrical|MaintenanceIndustrial	5.83|8.93|6.75|8.09|6.85|9.14|9.08	1006023|1006023|1006023|1006023|1006023|1006023|1006023
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Eye Bolts	NA_160000000000|NA_160400000000|NA_160401000000|NA_160401010000|NA_160401010200	Hubbell Power Systems	29960	09635906995	F																								L105																																																																																																																																																																																																																																																																																																																																																																																			in stock	10.10|11.02	https://pacific-supply.bloomreach.com/products/1013198___1013198		1013198	CHANCE 29960 5/8 X 10 OVAL EYE	Hubbell Power 29960 5/8 x 10 Inch Drop Forged Galvanized Steel Ovaleye Bolt	Chance	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1013198.jpg	master|Utility	6.37|6.94	1006354|1006354
Automation & Controls|Operators|Selector Switches|Hazardous Location Selector Switches|Non-Illuminated	NA_120000000000|NA_120900000000|NA_120910000000|NA_120910050000|NA_120910050200	Rockwell Automation	800H-JP2KA7TTXX	61132022900	F	F	F																						ICB																																																																																																														0.600				Type 7&9 Selector Switch	Contact Rockwell Automation						1-NO 1-NC Logic Reed Contacts	3 Position Selector Switch																																																																																																																																																																																																																																																									in stock	7.27|14.79|6.98|13.90|14.58	https://pacific-supply.bloomreach.com/products/1014794___1014794		1014794	AB 800H-JP2KA7TTXX Hazardous	A-B 800H-JP2KA7TTXX Type 7&9 Selector Switch 800H PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1014794.jpg	master|ContractorIndustrial|OEM|MaintenanceElectrical|MaintenanceIndustrial	4.58|9.32|4.40|8.76|9.18	1007950|1007950|1007950|1007950|1007950
